title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
A Charge Supplement Strategy Enhanced Non-contact Triboelectric Sensor for In Situ Blade Lift Monitoring of Unmanned Aerial Vehicles,https://pubs.acs.org/aamick/article/doi/10.1021/acsami.6c10405/5416502/A-Charge-Supplement-Strategy-Enhanced-Non-contact,,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-09-04 00:00:00+00:00,10.1021/acsami.6c10405,Tianyu Li,,"Abstract Real-time monitoring of blade lift is critical for the flight stability and safety of unmanned aerial vehicles (UAVs); however, conventional electronic speed controller estimation methods exhibit limited accuracy, high hardware costs, and susceptibility to signal drift. To address these challenges, this work proposes a self-powered, real-time UAV rotor lift monitoring sensor based on a non-contact triboelectric nanogenerator (BL-TENG). By combining computational fluid dynamics simulations with structural optimization designs, the in situ monitoring of lift force is successfully realized. Furthermore, the introduction of natural rabbit fur as an active charge pump yields a 2.6-fold enhancement in electrical output, while material wear and mechanical drag are minimized through the integration of a non-contact electrode configuration and a soft-contact charge replenishment strategy. Extensive durability testing demonstrates an exceptional voltage retention rate of 98.7% after 10 h of continuous high-speed operation (approximately 1.93 million cycles). Systematic evaluations demonstrate notable lift sensing accuracy, achieving a correlation coefficient exceeding 0.999. In addition, the sensor exhibits strong environmental adaptability, maintaining stable outputs across diverse temperature and humidity conditions, as well as under multisource interferences including spatial tilting, fuselage vibrations, and cross-wind perturbations. Through wireless signal transmission, UAV flight experiments validate the capability for real-time monitoring of aerodynamic lift across dynamic flight phases, such as takeoff and hovering. This work provides a low-cost, highly reliable sensing paradigm for future closed-loop flight control and UAV safety assurance.",crossref
Mechanochemical Synthesis of Flexible Ionic Covalent Organic Frameworks With Antibacterial Activity,https://onlinelibrary.wiley.com/doi/10.1002/anie.5966944,,Angewandte Chemie International Edition,2026-09-04 00:00:00+00:00,10.1002/anie.5966944,Wei Zhang,,"ABSTRACT The development of efficient, green synthetic approaches that can be easily scaled up to enable the practical applications of covalent organic frameworks (COFs) is highly desired. However, the current COF preparation still heavily relies on traditional solvothermal synthesis, which usually involves harsh experimental conditions. Here we report a rapid, atom‐economical, mechanochemical synthesis of flexible ionic COFs (ICOFs) at room temperature by using diol and LiBH 4 (or NaBH 4 ) as the starting materials. The ICOF products can be obtained on a multi‐gram (10 g) scale under solvent‐free conditions within 15 min. The resulting materials showed good crystallinity, excellent solvent stability, and also exhibited remarkable antibacterial activity, suggesting their potential as antibacterial candidates.",crossref
Database-guided thermodynamic-kinetic regulation for PtNi-based intermetallic electrocatalysts,https://www.science.org/doi/10.1126/sciadv.aef5266,,Science Advances,2026-09-04 00:00:00+00:00,10.1126/sciadv.aef5266,Jianbo Wu,,"Pt-Ni alloys exhibit outstanding oxygen reduction reaction (ORR) activity, yet achieving structural ordering to enhance stability remains a persistent challenge. Here, we propose a database-guided screening strategy to identify promoter elements (X) that facilitate ordering. By screening the critical disorder-to-order transition temperature ( T C ), solid solubility ( C sol ), and diffusion pre-exponential factor ( D 0 ) of candidate elements from material databases, six sets of L1 0 -Pt(NiX) nanoparticles were synthesized. The developed L1 0 -PtNiFe catalysts demonstrated a high mass activity (MA) of 4.38 A mg Pt −1 , retaining 82.1% after 50,000 cycles of accelerated durability testing (ADT) in half-cells, and retaining 79% of its initial MA of 1.1 A mg Pt −1 after 30,000 cycles in membrane electrode assembly (MEA). Theoretical calculations reveal that X incorporation broadens the annealing temperature ( T a ) window by forming Pt(NiX) with higher T C and lowering the kinetic threshold temperature ( T kin ) via enhanced atom mobility. This work establishes a database-guided framework that enables phase transitions previously difficult to access by creating an effective annealing window through coordinated thermodynamic-kinetic regulation, thereby facilitating the formation of ordered PtNi-based intermetallic structures toward durable electrocatalysts.",crossref
Human cortical networks trade communication efficiency for computational reliability,https://www.science.org/doi/10.1126/sciadv.aef2894,,Science Advances,2026-09-04 00:00:00+00:00,10.1126/sciadv.aef2894,Duncan Astle,,"Brains are often described as cost-efficient communication networks that optimally balance long-connection costs against fast communication. Inspired by the “use it or lose it” principle, we present a game-theoretic model of self-organizing neural units showing the brain is suboptimal in both regards. Regional competition for connectivity under propagative dynamics yields networks resembling the human cortex yet more efficient and economical. In addition, using a reservoir computing framework, we find comparable information processing capacity, but synthetic optimal communication networks show lower computational reliability. Last, virtual lesions reveal why these networks are fragile: To optimize communication, they funnel information through a spatially clustered “oligarchy” of transmodal hubs. The human brain instead uses a distributed “rich-club” backbone that better resists targeted attacks, despite higher wiring costs and less efficient communication. Cortical networks thus trade both cost and efficiency for reliable computation, highlighting computational reliability as an overlooked and perhaps even more prominent driver of brain connectivity than wiring cost or communication efficiency.",crossref
Observation of the quantum phase of free fall and the consistency with the equivalence principle,https://www.science.org/doi/10.1126/sciadv.aec8045,,Science Advances,2026-09-04 00:00:00+00:00,10.1126/sciadv.aec8045,Ron Folman,,"The unification of quantum theory and the general theory of relativity, describing gravity, is one of the most important challenges in science. Einstein’s general theory of relativity is based on the principle of equivalence and has been confirmed to great accuracy for large bodies. However, in the quantum domain, the equivalence principle has been predicted to take a unique form involving a gauge phase, which is equal, in the context of a measurement on Earth, to the quantum phase of a free-falling wave packet relative to its counterpart wave packet which is static in Earth’s frame. To measure this phase, we realize a novel cold-atom interferometer in which one wave packet stays static in the laboratory frame while the other is in free fall. The observed relative phase of the wave packets confirms the predicted phase and shows that, in our low energy regime, the equivalence principle may be applied to the quantum domain. Our observation constitutes a fundamental test of the interface between quantum theory and gravity. The new interferometer also opens the door for further probing of the latter interface, as well as to searches for new physics.",crossref
Enhanced carbon loss in the Southern Ocean under mitigation scenarios,https://www.science.org/doi/10.1126/sciadv.aee9228,,Science Advances,2026-09-04 00:00:00+00:00,10.1126/sciadv.aee9228,Jörg Schwinger,,"The Southern Ocean (SO) plays a pivotal role in the global carbon cycle by absorbing anthropogenic carbon dioxide (CO
                    2
                    ). Yet, it remains uncertain whether this role will persist under future mitigation efforts. Using idealized emission-driven simulations with the Community Earth System Model version 2 (CESM2), we find that the SO transitions from net CO
                    2
                    sink to a substantial source during zero- and negative-emission phases. This outgassing stems from a persistent regional increase in sea surface temperature and a globally uniform decline in surface alkalinity. Together, these changes maintain elevated oceanic partial pressure of CO
                    2
                    (
                    
                      
                        
                          
                            P
                            co
                          
                          2
                        
                      
                    
                    ) despite decreasing atmospheric CO
                    2
                    , reversing the air-sea
                    
                      
                        
                          
                            
                              P
                              co
                            
                            2
                          
                        
                      
                    
                    gradient (
                    
                      
                        
                          
                            
                              d
                              P
                              co
                            
                            2
                          
                        
                      
                    
                    ). Moreover, the SO exhibits a high climatological gas-transfer coefficient, primarily driven by the region’s strong wind speeds and high CO
                    2
                    solubility, which amplifies the
                    
                      
                        
                          
                            
                              d
                              P
                              co
                            
                            2
                          
                        
                      
                    
                    -driven flux and enhances CO
                    2
                    outgassing. These results indicate that the present-day SO CO
                    2
                    sink may lose its effectiveness during climate mitigation, emphasizing the need to consider regional feedbacks for long-term climate policy effectiveness.",crossref
Chemistry of Evaporating Charged Alcohol Microdroplets in Humid Environments,https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c11524/5416095/Chemistry-of-Evaporating-Charged-Alcohol,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-09-04 00:00:00+00:00,10.1021/jacs.6c11524,Vicki H. Grassian,,"Abstract There has been recent interest in the physics of evaporating alcohol droplets under humid conditions. These studies focus on delineating time scales for different physical processes, but what about the chemistry? Given the novel reactivity of aqueous microdroplets, we surmise that there will also be interesting chemistry. Here we focus on the oxidation chemistry of single evaporating charged alcohol microdroplets, e.g., 1-nonanol, and find the formation of the corresponding aldehyde, carboxylic acid, and ester. Oxidation is observed only under humidified conditions, suggesting that water is the oxidant. This hypothesis is supported by isotope experiments using H218O. Furthermore, oxidation is charge-dependent with no oxidation products observed for alcohol microdroplets with minimal charge. We therefore propose a mechanism involving charge accumulation at the interface during evaporation followed by water adsorption and activation to yield hydroxyl radicals that initiate oxidation. Our findings reveal a critical role for water and interfacial charge in driving oxidation at the alcohol microdroplet interface, with broader implications for microdroplet reactivity and interfacial chemistry of nonaqueous microdroplets.",crossref
"Exploiting Bridged Conformations for Precise Molecular Recognition in the Design of KRAS-Selective, Orally Available Macrocyclic Peptides",https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c14212/5416596/Exploiting-Bridged-Conformations-for-Precise,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-09-04 00:00:00+00:00,10.1021/jacs.6c14212,Mikimasa Tanada,,"Abstract Macrocyclic peptides are attracting attention as a promising therapeutic modality for addressing intracellular targets that are traditionally difficult to address with conventional small molecules or antibodies. In this study, we present the chemical optimization process behind the development of AUBE00 (AP7400, compound 30), a KRAS-selective inhibitor based on a scaffold similar to LUNA18, an orally bioavailable macrocyclic peptide RAS inhibitor. Achieving KRAS isoform selectivity is exceptionally challenging due to the nearly identical backbone structures of KRAS, HRAS, and NRAS (Cα RMSD",crossref
Vinylene-Linked Woven Covalent Organic Frameworks for the Oxygen Reduction Reaction,https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c12376/5420803/Vinylene-Linked-Woven-Covalent-Organic-Frameworks,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-09-04 00:00:00+00:00,10.1021/jacs.6c12376,Pradip Pachfule,,"Abstract Woven covalent organic frameworks (woven COFs) represent a rare class of mechanically interlaced crystalline polymers whose synthesis is largely limited by the availability of suitable linkage chemistry. Herein, we report the first example of a vinylene-linked woven covalent organic framework, constructed through a Knoevenagel-type condensation between a Cu(I)-coordinated neocuproine node (Cu(DmPhen)2) and an extended aromatic dialdehyde linker under melt-polymerization conditions. The incorporation of a rigid copper-phenanthroline node and an elongated terphenyl-based aldehyde promotes framework interlocking, enabling the formation of a crystalline woven architecture featuring robust C═C linkages and permanent porosity. The resulting Cu-TPy COF exhibits a long-range periodicity, extended π-conjugation, and remarkable chemical stability. Owing to the synergistic combination of accessible copper centers and an ordered conjugated framework, Cu-TPy exhibits outstanding electrocatalytic activity for the oxygen reduction reaction (ORR) even in the absence of conductive additives, maintaining stable performance for more than 2 days of continuous operation. This work demonstrates the successful incorporation of vinylene linkages into the woven framework, thereby extending the conjugation pathway and broadening the structural diversity of woven porous materials.",crossref
Solvent-Free Catalysis Unlocks Bulky-Molecule Oxidation within Titanosilicate Micropores,https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c12516/5416595/Solvent-Free-Catalysis-Unlocks-Bulky-Molecule,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-09-04 00:00:00+00:00,10.1021/jacs.6c12516,Zhongmin Liu,,"Abstract For decades, the consensus has been that the pore dimensions of microporous titanosilicate catalysts are too small to accommodate bulky reactants, which are critical to the fine chemicals and pharmaceutical industries. This limitation has confined catalyst design to tuning pore size based on the assumption that transport and reactivity are governed mainly by framework geometry. Here, we show that solvent-free operation can instead enhance reactivity in a system where it would normally be hampered: bulky-molecule epoxidation over microporous zeolites. In cyclohexene epoxidation over conventional titanium silicalite-1, solvent-free conditions yield 88.8% conversion with >89% epoxide selectivity, whereas conversion remains below 6.9% in methanol. We attribute this contrast to the solvent-gated accessibility of confined Ti sites. Solvent molecules occupying the microporous environment block bulky substrates from reaching the internal reactive space, while vacant or weakly occupied voids allow transient access and productive epoxidation. This trend extends to larger cyclic olefins and titanium-containing porous catalysts. By eliminating solvents and boosting efficiency, our solvent-free method proves that tailoring the confined environment is as important as the framework structure to unlock reactivity in porous catalysts.",crossref
